1007045227-9deec2 | http://is9.auto.ru/all/images/d8/a5/60x45/d8a5f751.jpg |  Mazda 3 II (BL) Рестайлинг1.6 MT (105 л.с.)  | #000000 | 820 000 |  2012  |  20 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Зеленоград | 22.01.15
1007234125-b594 | /i/all7/img/no-photo-thumb.gif |  Mazda 3 I (BK)2.0 MT (150 л.с.) 5-speed  | #9c9999 | 350 000 |  2004  |  138 000 км  |  2.0 MT (150 л.с.) 5-speedхэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007039117-4d9d | http://is8.auto.ru/all/images/9f/38/60x45/9f38b4d2.jpg |  Mazda 3 II (BL) Рестайлинг1.6 AT (105 л.с.)  | #000000 | 770 000 |  2012  |  25 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007237879-665e | http://is10.auto.ru/all/images/d5/5e/60x45/d55e898d.jpg |  Mazda 3 II (BL) Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 620 000 |  2012  |  37 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005692113-cdae2 | http://is9.auto.ru/all/images/0a/94/60x45/0a94630d.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #ffefd5 | 454 000 |  2007  |  93 617 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005692305-3219d8 | http://is14.auto.ru/all/images/59/7a/60x45/597a6d39.jpg |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #FF0000 | 455 000 |  2007  |  89 527 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007099271-51ed4f | http://is13.auto.ru/all/images/91/0a/60x45/910a8ec2.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #FF0000 | 445 000 |  2008  |  86 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Новомосковск | 22.01.15
1007237873-131b | http://is2.auto.ru/all/images/45/36/60x45/45365509.jpg |  Mazda 3 I (BK)1.6 AT (105 л.с.)  | #000000 | 590 000 |  2005  |  113 392 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Воронеж | 22.01.15
1007237577-7ec1b | http://is11.auto.ru/all/images/d3/dc/60x45/d3dca7fc.jpg |  Mazda 3 I (BK) Рестайлинг1.6 MT (105 л.с.)  | #FFCC00 | 490 000 |  2008  |  70 050 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007236949-c42e7 | http://is2.auto.ru/all/images/a8/51/60x45/a8515245.jpg |  Mazda 3 II (BL)1.6 MT (105 л.с.)  | #000000 | 520 000 |  2010  |  77 150 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006737847-637fc | http://is9.auto.ru/all/images/8e/3b/60x45/8e3b130e.jpg |  Mazda 3 II (BL) Рестайлинг1.6 AT (105 л.с.)  | #0000FF | 560 000 |  2011  |  58 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007237463-4f1897 | /i/all7/img/no-photo-thumb.gif |  Mazda 3 I (BK) Рестайлинг1.6 AT (105 л.с.)  | #000000 | 420 000 |  2008  |  115 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007236017-8ecc | http://is11.auto.ru/all/images/d4/30/60x45/d4300da3.jpg |  Mazda 3 II (BL)1.6 AT (105 л.с.)  | #000000 | 560 000 |  2010  |  91 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007034677-11e2 | http://is16.auto.ru/all/images/c0/f5/60x45/c0f52648.jpg |  Mazda 3 II (BL) Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 510 000 |  2011  |  45 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
