1005705331-c22e0 | http://is4.auto.ru/all/images/fc/0c/60x45/fc0c56a5.jpg |  BMW 3er IV (E46) Рестайлинг 320i2.2 AT (170 л.с.)  | #34ba2b | 330 000 |  2002  |  120 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Воронеж | 25.12.14
38485724-7cac1 | http://is11.auto.ru/all/images/fd/80/60x45/fd800914.jpg |  BMW 3er V (E9x) 320d2.0d AT (177 л.с.)  | #FFFFFF | 820 000 |  2008  |  145 000 км  |  2.0d AT (177 л.с.)купе, дизель, задний  | Ростов-на-Дону | 25.12.14
1005708255-6ab7c0 | http://is9.auto.ru/all/images/a3/58/60x45/a358ad2a.jpg |  BMW 3er IV (E46) 320i2.2 MT (170 л.с.)  | #FFCC00 | 400 000 |  2001  |  330 000 км  |  2.2 MT (170 л.с.)седан, бензин, задний  | Брянск | 25.12.14
1005709299-bfa7 | http://is18.auto.ru/all/images/b1/85/60x45/b1857188.jpg |  BMW 3er IV (E46) 318i1.9 MT (118 л.с.)  | #0000FF | 250 000 |  2001  |  280 000 км  |  1.9 MT (118 л.с.)седан, бензин, задний  | Сочи | 25.12.14
47845754-b9d1b0 | http://is16.auto.ru/all/images/77/75/60x45/77754b3f.jpg |  BMW 3er V (E9x) Рестайлинг 318i2.0 MT (136 л.с.)  | #000000 | 800 000 |  2009  |  87 500 км  |  2.0 MT (136 л.с.)седан, бензин, задний  | Санкт-Петербург | 25.12.14
50335632-3465 | http://is2.auto.ru/all/images/4c/09/60x45/4c09c6a8.jpg |  BMW 3er III (E36) 328i2.8 AT (193 л.с.)  | #34ba2b | 529 982 |  1997  |  138 000 км  |  2.8 AT (193 л.с.)кабриолет, бензин, задний  | Москва | 25.12.14
1005580833-e84ef | /i/all7/img/no-photo-thumb.gif |  BMW 3er VI (F3x) 316i1.6 AT (136 л.с.)  | #0000FF | 1 650 000 |  2014  |  600 км  |  1.6 AT (136 л.с.)седан, бензин, задний  | Москва | 25.12.14
1005589147-86de1c | http://is4.auto.ru/all/images/bb/18/60x45/bb18429d.jpg |  BMW 3er II (E30) 324d2.4d MT (86 л.с.)  | #9c9999 | 196 200 |  1989  |  397 000 км  |  2.4d MT (86 л.с.)седан, дизель, задний  | Симферополь | 25.12.14
1005728511-2472f | http://is6.auto.ru/all/images/73/30/60x45/7330203c.jpg |  BMW 3er V (E9x) 318d2.0d MT (143 л.с.)  | #0000FF | 645 000 |  2008  |  113 000 км  |  2.0d MT (143 л.с.)седан, дизель, задний  | Пермь | 26.12.14
45900876-98a1dd | http://is16.auto.ru/all/images/17/be/60x45/17be038b.jpg |  BMW 3er V (E9x) 325i2.5 AT (218 л.с.)  | #FFCC00 | 880 000 |  2007  |  140 000 км  |  2.5 AT (218 л.с.)кабриолет, бензин, задний  | Владимир | 26.12.14
