1005757333-336aa3 | http://is8.auto.ru/all/images/de/0d/60x45/de0d6d7e.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #FFFFFF | 590 000 |  2013  |  20 000 км  |  1.6 MT (123 л.с.)хэтчбек, бензин, передний  | Белгород | 26.12.14
1005751335-91dee | http://is3.auto.ru/all/images/08/06/60x45/08064e22.jpg |  Hyundai Solaris I Рестайлинг1.4 MT (107 л.с.)  | #FFFFFF | 707 000 |  2014  |  10 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Москва | 26.12.14
1005760581-99d82 | http://is4.auto.ru/all/images/e2/4d/60x45/e24db23b.jpg |  Hyundai Solaris I Рестайлинг1.4 MT (107 л.с.)  | #9c9999 | 620 000 |  2014  |  500 км  |  1.4 MT (107 л.с.)хэтчбек, бензин, передний  | Москва | 26.12.14
1005801759-c84147 | http://is6.auto.ru/all/images/08/c3/60x45/08c3e50c.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #FFFFFF | 525 000 |  2014  |  15 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Москва | 27.12.14
1005803689-55c7e | /i/all7/img/no-photo-thumb.gif |  Hyundai Solaris I1.4 AT (107 л.с.)  | #0000FF | 435 000 |  2012  |  36 800 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Бобров | 27.12.14
1005809529-37c2fb | http://is7.auto.ru/all/images/79/13/60x45/7913784d.jpg |  Hyundai Solaris I Рестайлинг1.6 AT (123 л.с.)  | #000000 | 810 000 |  2014  |  6 205 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 27.12.14
1005809547-bfbf4 | http://is3.auto.ru/all/images/bd/f4/60x45/bdf429dd.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #CACECB | 450 000 |  2011  |  37 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Саранск | 27.12.14
1005378765-948b | http://is7.auto.ru/all/images/14/50/60x45/1450b665.jpg |  Hyundai Solaris I Рестайлинг1.6 AT (123 л.с.)  | #000000 | 798 000 |  2014  |  10 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 27.12.14
1005812997-6dac8e | http://is10.auto.ru/all/images/62/ea/60x45/62eacb08.jpg |  Hyundai Solaris I Рестайлинг1.6 AT (123 л.с.)  | #FFFFFF | 782 000 |  2014  |  5 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 27.12.14
1005813985-92f124 | http://is3.auto.ru/all/images/05/e2/60x45/05e232f5.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #000000 | 480 000 |  2012  |  50 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Усть-Илимск | 27.12.14
1005581185-3608d8 | http://is2.auto.ru/all/images/d9/29/60x45/d929d9a9.jpg |  Hyundai Solaris I Рестайлинг1.6 AT (123 л.с.)  | #FFFFFF | 781 211 |  2014  |  3 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 27.12.14
1005815023-f49463 | http://is7.auto.ru/all/images/57/65/60x45/5765a972.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #FFFFFF | 495 000 |  2012  |  35 555 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Краснодар | 27.12.14
1005814811-6a9e | http://is9.auto.ru/all/images/4e/38/60x45/4e387063.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #CACECB | 530 000 |  2013  |  9 000 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Москва | 27.12.14
1003703018-9731e | http://is5.auto.ru/all/images/16/11/60x45/1611c152.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #000000 | 490 000 |  2012  |  19 000 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Мурманск | 27.12.14
