1005807785-e7bfd5 | http://is1.auto.ru/all/images/d6/70/60x45/d67030bf.jpg |  Hyundai Santa Fe II Рестайлинг2.2d MT (197 л.с.) 4WD  | #FFFFFF | 949 000 |  2011  |  90 556 км  |  2.2d MT (197 л.с.) 4WDвнедорожник, дизель, полный  | Череповец | 27.12.14
1005813107-2140 | http://is8.auto.ru/all/images/44/57/60x45/4457d2ad.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #0000FF | 750 000 |  2007  |  114 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Ухта | 27.12.14
1005858823-a2db | http://is18.auto.ru/all/images/06/bf/60x45/06bf0145.jpg |  Hyundai Santa Fe I Classic2.0d MT (112 л.с.)  | #000000 | 550 000 |  2008  |  48 000 км  |  2.0d MT (112 л.с.)внедорожник, дизель, передний  | Москва | 28.12.14
1005633537-caf6c0 | http://is14.auto.ru/all/images/6d/e1/60x45/6de1f6da.jpg |  Hyundai Santa Fe III2.4 MT (175 л.с.) 4WD  | #000000 | 1 800 000 |  2012  |  25 000 км  |  2.4 MT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 28.12.14
45184222-6696 | http://is5.auto.ru/all/images/5f/86/60x45/5f867d36.jpg |  Hyundai Santa Fe II Рестайлинг2.4 AT (174 л.с.) 4WD  | #FFFFFF | 1 200 000 |  2011  |  92 000 км  |  2.4 AT (174 л.с.) 4WDвнедорожник, бензин, полный  | Калуга | 28.12.14
1005859497-d5225 | http://is17.auto.ru/all/images/ec/b3/60x45/ecb3ee39.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.) 4WD  | #ffefd5 | 330 000 |  2003  |  192 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 28.12.14
1005867189-4f381 | http://is7.auto.ru/all/images/40/3b/60x45/403b6625.jpg |  Hyundai Santa Fe I2.4 AT (150 л.с.)  | #0000FF | 385 000 |  2004  |  180 000 км  |  2.4 AT (150 л.с.)внедорожник, бензин, передний  | Москва | 28.12.14
1004032178-d52ded | http://is16.auto.ru/all/images/bb/ed/60x45/bbed80f5.jpg |  Hyundai Santa Fe I2.0d MT (112 л.с.) 4WD  | #000000 | 380 000 |  2001  |  400 000 км  |  2.0d MT (112 л.с.) 4WDвнедорожник, дизель, полный  | Воронеж | 28.12.14
1005913173-ee5574 | http://is4.auto.ru/all/images/d3/4f/60x45/d34f07b0.jpg |  Hyundai Santa Fe I Classic2.0d MT (112 л.с.)  | #FF0000 | 495 000 |  2008  |  160 000 км  |  2.0d MT (112 л.с.)внедорожник, дизель, передний  | Москва | 29.12.14
1005913733-615a8 | http://is6.auto.ru/all/images/5c/55/60x45/5c555e4a.jpg |  Hyundai Santa Fe I2.4 MT (146 л.с.) 4WD  | #0088ff | 395 000 |  2002  |  220 000 км  |  2.4 MT (146 л.с.) 4WDвнедорожник, бензин, полный  | Вологда | 29.12.14
1003125990-9b5c16 | http://is6.auto.ru/all/images/a4/d9/60x45/a4d9da78.jpg |  Hyundai Santa Fe II Рестайлинг2.4 AT (174 л.с.) 4WD  | #CACECB | 900 000 |  2011  |  110 000 км  |  2.4 AT (174 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 29.12.14
48686272-415d | http://is15.auto.ru/all/images/56/fa/60x45/56faf250.jpg |  Hyundai Santa Fe I Classic2.0d MT (112 л.с.) 4WD  | #000000 | 650 000 |  2009  |  98 000 км  |  2.0d MT (112 л.с.) 4WDвнедорожник, дизель, полный  | Смоленск | 29.12.14
1005916907-cafbe9 | http://is18.auto.ru/all/images/ba/55/60x45/ba555c5b.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #CACECB | 745 000 |  2008  |  87 700 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 29.12.14
1005920653-d118e | http://is3.auto.ru/all/images/19/16/60x45/1916d63b.jpg |  Hyundai Santa Fe I Classic2.0d MT (112 л.с.) 4WD  | #ffefd5 | 460 000 |  2008  |  185 000 км  |  2.0d MT (112 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 29.12.14
1005921945-8cfb | http://is1.auto.ru/all/images/d2/1b/60x45/d21bab5c.jpg |  Hyundai Santa Fe III2.0d AT (184 л.с.) 4WD  | #FFFFFF | 2 000 000 |  2013  |  30 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Лиски | 29.12.14
1001841073-ee1a6 | http://is7.auto.ru/all/images/74/e0/60x45/74e0e770.jpg |  Hyundai Santa Fe I Classic2.7 AT (173 л.с.) 4WD  | #CACECB | 550 000 |  2008  |  140 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Ковров | 29.12.14
1005924037-c12398 | http://is15.auto.ru/all/images/84/97/60x45/84978cb2.jpg |  Hyundai Santa Fe I Classic2.0d MT (112 л.с.) 4WD  | #000000 | 550 000 |  2008  |  95 000 км  |  2.0d MT (112 л.с.) 4WDвнедорожник, дизель, полный  | Ульяновск | 29.12.14
1005924365-8c9568 | http://is15.auto.ru/all/images/3a/dd/60x45/3add27b6.jpg |  Hyundai Santa Fe II Рестайлинг2.4 AT (174 л.с.) 4WD  | #000000 | 1 020 000 |  2011  |  114 000 км  |  2.4 AT (174 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 29.12.14
46845478-79180 | http://is11.auto.ru/all/images/e7/20/60x45/e720a6cd.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #CACECB | 650 000 |  2006  |  130 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 29.12.14
1005969819-c64a | http://is6.auto.ru/all/images/a8/d5/60x45/a8d5ea60.jpg |  Hyundai Santa Fe III2.0d AT (184 л.с.)  | #FFFFFF | 2 289 000 |  2014  |  17 000 км  |  2.0d AT (184 л.с.)внедорожник, дизель, передний  | Москва | 30.12.14
1005969893-66602 | http://is18.auto.ru/all/images/f3/88/60x45/f388290d.jpg |  Hyundai Santa Fe III2.0d AT (184 л.с.)  | #000000 | 2 092 800 |  2013  |  22 000 км  |  2.0d AT (184 л.с.)внедорожник, дизель, передний  | Москва | 30.12.14
1005970007-425ad | http://is6.auto.ru/all/images/56/b3/60x45/56b36882.jpg |  Hyundai Santa Fe III2.0d AT (184 л.с.)  | #FFFFFF | 1 962 000 |  2013  |  39 000 км  |  2.0d AT (184 л.с.)внедорожник, дизель, передний  | Москва | 30.12.14
1005970095-085072 | http://is3.auto.ru/all/images/1d/8b/60x45/1d8b4f54.jpg |  Hyundai Santa Fe III2.0d AT (184 л.с.) 4WD  | #9c9999 | 2 223 600 |  2014  |  28 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 30.12.14
1005970115-38d8 | http://is9.auto.ru/all/images/ae/26/60x45/ae261a58.jpg |  Hyundai Santa Fe III2.2d AT (197 л.с.) 4WD  | #FFFFFF | 2 256 300 |  2014  |  16 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 30.12.14
1005970131-064d | http://is4.auto.ru/all/images/93/0c/60x45/930c052f.jpg |  Hyundai Santa Fe III2.0d AT (184 л.с.) 4WD  | #000000 | 2 190 900 |  2013  |  35 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 30.12.14
1005924831-80fe8 | http://is18.auto.ru/all/images/4c/0f/60x45/4c0f831e.jpg |  Hyundai Santa Fe II Рестайлинг2.2d AT (197 л.с.) 4WD  | #0088ff | 1 350 000 |  2012  |  35 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Красное Село | 30.12.14
1002789787-b9599 | http://is5.auto.ru/all/images/ca/ba/60x45/cabaa67d.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.) 4WD  | #0088ff | 350 000 |  2003  |  116 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 30.12.14
1002789937-32c4b | http://is13.auto.ru/all/images/02/c8/60x45/02c8cc86.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.) 4WD  | #CACECB | 360 000 |  2004  |  103 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 30.12.14
1002789893-80b22 | http://is5.auto.ru/all/images/44/99/60x45/4499d99b.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.) 4WD  | #CACECB | 425 000 |  2006  |  94 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 30.12.14
45184814-f8fb | http://is17.auto.ru/all/images/71/3a/60x45/713aeb52.jpg |  Hyundai Santa Fe I Classic2.7 AT (173 л.с.) 4WD  | #ffefd5 | 560 000 |  2010  |  120 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Ростов-на-Дону | 01.01.15
1006068123-91dc | http://is6.auto.ru/all/images/d7/8e/60x45/d78e944e.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #926547 | 760 000 |  2008  |  51 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Ухта | 01.01.15
1006107743-d8db4 | http://is7.auto.ru/all/images/6f/38/60x45/6f384984.jpg |  Hyundai Santa Fe II2.2d AT (150 л.с.) 4WD  | #000000 | 926 000 |  2008  |  228 000 км  |  2.2d AT (150 л.с.) 4WDвнедорожник, дизель, полный  | Рудня | 02.01.15
1006109115-83c71 | http://is6.auto.ru/all/images/27/8d/60x45/278dc6e8.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.) 4WD  | #CACECB | 400 000 |  2002  |  100 000 км  |  2.7 AT (173 л.с.) 4WDвнедорожник, бензин, полный  | Избербаш | 02.01.15
48756458-412e | http://is16.auto.ru/all/images/fa/41/60x45/fa41a7f0.jpg |  Hyundai Santa Fe I Classic2.0d MT (112 л.с.)  | #CC0033 | 550 000 |  2008  |  166 000 км  |  2.0d MT (112 л.с.)внедорожник, дизель, передний  | Москва | 02.01.15
37616468-c21c | http://is11.auto.ru/all/images/bc/31/60x45/bc31485e.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #000000 | 750 000 |  2007  |  112 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Прохладный | 02.01.15
1006111655-2859ae | http://is11.auto.ru/all/images/e8/81/60x45/e881fb9f.jpg |  Hyundai Santa Fe I2.7 AT (173 л.с.)  | #0000FF | 350 000 |  2002  |  200 000 км  |  2.7 AT (173 л.с.)внедорожник, бензин, передний  | Раменское | 02.01.15
1005574215-35d06 | http://is15.auto.ru/all/images/dd/7f/60x45/dd7fb703.jpg |  Hyundai Santa Fe II Рестайлинг2.4 AT (174 л.с.) 4WD  | #9c9999 | 1 050 000 |  2011  |  76 000 км  |  2.4 AT (174 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 02.01.15
1006153175-7d65 | http://is15.auto.ru/all/images/9e/2c/60x45/9e2cf797.jpg |  Hyundai Santa Fe II Рестайлинг2.4 AT (174 л.с.) 4WD  | #000000 | 1 300 000 |  2012  |  99 000 км  |  2.4 AT (174 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 03.01.15
1002038919-a932d | http://is12.auto.ru/all/images/b0/72/60x45/b072f82a.jpg |  Hyundai Santa Fe III Grand2.2d AT (197 л.с.) 4WD  | #000000 | 1 950 000 |  2014  |  1 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 03.01.15
1003840528-ea46 | http://is16.auto.ru/all/images/be/b6/60x45/beb6e098.jpg |  Hyundai Santa Fe I2.0d AT (115 л.с.)  | #926547 | 385 000 |  2002  |  129 000 км  |  2.0d AT (115 л.с.)внедорожник, дизель, передний  | Псков | 03.01.15
1006158847-f3828 | http://is14.auto.ru/all/images/9f/42/60x45/9f4222fe.jpg |  Hyundai Santa Fe I Classic2.0d AT (112 л.с.) 4WD  | #9c9999 | 580 000 |  2008  |  80 000 км  |  2.0d AT (112 л.с.) 4WDвнедорожник, дизель, полный  | Уфа | 03.01.15
44043032-3350 | http://is7.auto.ru/all/images/4e/a8/60x45/4ea8be41.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #9c9999 | 760 000 |  2007  |  78 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Брянск | 03.01.15
1006158817-91c3a | http://is18.auto.ru/all/images/d1/00/60x45/d100a80b.jpg |  Hyundai Santa Fe II2.2d AT (150 л.с.)  | #000000 | 780 000 |  2007  |  75 000 км  |  2.2d AT (150 л.с.)внедорожник, дизель, передний  | Саратов | 03.01.15
1003136726-b448 | http://is12.auto.ru/all/images/82/0a/60x45/820a7735.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #000000 | 800 000 |  2008  |  107 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Воронеж | 03.01.15
1002494367-894ddc | http://is12.auto.ru/all/images/44/8b/60x45/448bc76a.jpg |  Hyundai Santa Fe II2.2d AT (150 л.с.) 4WD  | #CACECB | 900 000 |  2008  |  91 500 км  |  2.2d AT (150 л.с.) 4WDвнедорожник, дизель, полный  | Владимир | 03.01.15
1004087194-d1f776 | /i/all7/img/no-photo-thumb.gif |  Hyundai Santa Fe II Рестайлинг2.2d AT (197 л.с.) 4WD  | #CACECB | 1 215 000 |  2012  |  51 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 03.01.15
47482148-5a623 | http://is7.auto.ru/all/images/ff/d6/60x45/ffd648a0.jpg |  Hyundai Santa Fe I2.4 MT (146 л.с.) 4WD  | #CACECB | 400 000 |  2002  |  230 000 км  |  2.4 MT (146 л.с.) 4WDвнедорожник, бензин, полный  | Коренево | 03.01.15
1004166227-767d | http://is5.auto.ru/all/images/7e/e1/60x45/7ee1b5f1.jpg |  Hyundai Santa Fe I2.4 MT (146 л.с.)  | #000000 | 400 000 |  2003  |  150 000 км  |  2.4 MT (146 л.с.)внедорожник, бензин, передний  | Ярославль | 03.01.15
1004549357-4f56 | http://is3.auto.ru/all/images/ee/6f/60x45/ee6ffe29.jpg |  Hyundai Santa Fe III2.0d AT (184 л.с.) 4WD  | #9c9999 | 1 900 000 |  2014  |  22 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 04.01.15
1004549365-ccfcd | http://is14.auto.ru/all/images/ff/44/60x45/ff44c904.jpg |  Hyundai Santa Fe III2.0d AT (184 л.с.) 4WD  | #FFFFFF | 1 950 000 |  2014  |  13 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 04.01.15
1006208819-4396b | http://is3.auto.ru/all/images/4f/09/60x45/4f0988b9.jpg |  Hyundai Santa Fe II2.7 AT (189 л.с.) 4WD  | #926547 | 750 000 |  2008  |  130 000 км  |  2.7 AT (189 л.с.) 4WDвнедорожник, бензин, полный  | Киров | 04.01.15
