1005574075-2ad341 | http://is3.auto.ru/all/images/be/78/60x45/be783f0b.jpg |  BMW 5er V (E60/E61) 520d2.0d AT (163 л.с.)  | #000000 | 800 000 |  2007  |  120 000 км  |  2.0d AT (163 л.с.)седан, дизель, задний  | Москва | 24.12.14
1001719317-66a23 | http://is2.auto.ru/all/images/2a/76/60x45/2a76cfb8.jpg |  BMW 5er IV (E39) Рестайлинг 520i2.2 AT (170 л.с.)  | #9966CC | 350 000 |  2000  |  225 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Сочи | 24.12.14
1005636935-27f86 | http://is15.auto.ru/all/images/2d/83/60x45/2d83d346.jpg |  BMW 5er VI (F10/F11/F07) Рестайлинг 520i2.0 AT (184 л.с.)  | #000000 | 2 500 000 |  2014  |  17 000 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Москва | 24.12.14
1003562148-0e0ae | http://is11.auto.ru/all/images/25/dc/60x45/25dc5ce6.jpg |  BMW 5er V (E60/E61) Рестайлинг 525i2.5 AT (218 л.с.)  | #9c9999 | 1 050 000 |  2008  |  115 000 км  |  2.5 AT (218 л.с.)седан, бензин, задний  | Москва | 24.12.14
1005637387-fa91a | http://is15.auto.ru/all/images/56/f2/60x45/56f26d74.jpg |  BMW 5er VI (F10/F11/F07) 523i2.5 AT (204 л.с.)  | #FFFFFF | 1 550 000 |  2010  |  83 000 км  |  2.5 AT (204 л.с.)седан, бензин, задний  | Москва | 24.12.14
1005637765-8a08 | http://is5.auto.ru/all/images/b5/56/60x45/b5567155.jpg |  BMW 5er IV (E39) Рестайлинг 525i2.5 AT (192 л.с.)  | #CACECB | 320 000 |  2001  |  216 000 км  |  2.5 AT (192 л.с.)седан, бензин, задний  | Ярославль | 24.12.14
1005638075-a22f | http://is8.auto.ru/all/images/09/98/60x45/09981f1f.jpg |  BMW 5er VI (F10/F11/F07) Рестайлинг 520i2.0 AT (184 л.с.)  | #000000 | 1 999 000 |  2014  |  1 001 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Москва | 24.12.14
1005582269-2ef06 | http://is5.auto.ru/all/images/84/cc/60x45/84cc7d24.jpg |  BMW 5er VI (F10/F11/F07) 528i2.0 AT (245 л.с.)  | #0000FF | 1 970 000 |  2012  |  47 000 км  |  2.0 AT (245 л.с.)седан, бензин, задний  | Москва | 24.12.14
1003435498-b970 | http://is4.auto.ru/all/images/23/9a/60x45/239ad248.jpg |  BMW 5er IV (E39) 520i2.0 AT (150 л.с.)  | #0000FF | 335 000 |  1998  |  350 000 км  |  2.0 AT (150 л.с.)седан, бензин, задний  | Коломна | 24.12.14
1005639055-eea6cd | /i/all7/img/no-photo-thumb.gif |  BMW 5er V (E60/E61) 525i2.5 AT (218 л.с.)  | #0000FF | 600 000 |  2005  |  160 000 км  |  2.5 AT (218 л.с.)седан, бензин, задний  | Брянск | 24.12.14
37873602-705cf | http://is18.auto.ru/all/images/24/cc/60x45/24cc965d.jpg |  BMW 5er VI (F10/F11/F07) 523i2.5 AT (204 л.с.)  | #000000 | 1 400 000 |  2011  |  76 000 км  |  2.5 AT (204 л.с.)седан, бензин, задний  | Белгород | 24.12.14
1005639741-d1f56 | http://is4.auto.ru/all/images/1d/39/60x45/1d394c3a.jpg |  BMW 5er IV (E39) 520i2.0 MT (150 л.с.)  | #000000 | 240 000 |  1998  |  210 км  |  2.0 MT (150 л.с.)седан, бензин, задний  | Москва | 24.12.14
1002675915-ffe1 | http://is3.auto.ru/all/images/30/2f/60x45/302f7a11.jpg |  BMW 5er V (E60/E61) Рестайлинг 520d2.0d AT (177 л.с.)  | #CACECB | 1 230 000 |  2009  |  79 000 км  |  2.0d AT (177 л.с.)универсал, дизель, задний  | Москва | 24.12.14
1005639183-214c77 | http://is1.auto.ru/all/images/b6/1e/60x45/b61e1b4b.jpg |  BMW 5er VI (F10/F11/F07) Рестайлинг 520i2.0 AT (184 л.с.)  | #FFFFFF | 3 100 000 |  2014  |  4 500 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Москва | 24.12.14
1005641289-b4e0 | http://is17.auto.ru/all/images/f1/a5/60x45/f1a5a6fc.jpg |  BMW 5er V (E60/E61) 520i2.2 MT (170 л.с.)  | #9c9999 | 500 000 |  2003  |  240 000 км  |  2.2 MT (170 л.с.)седан, бензин, задний  | Иваново | 24.12.14
1005641183-349219 | http://is12.auto.ru/all/images/27/25/60x45/27252137.jpg |  BMW 5er V (E60/E61) Рестайлинг 530i3.0 AT (272 л.с.)  | #9c9999 | 890 000 |  2008  |  85 000 км  |  3.0 AT (272 л.с.)седан, бензин, задний  | Челябинск | 24.12.14
1005641481-db34 | http://is18.auto.ru/all/images/8e/4c/60x45/8e4c128a.jpg |  BMW 5er V (E60/E61) 530d3.0d AT (218 л.с.)  | #9c9999 | 850 000 |  2003  |  210 000 км  |  3.0d AT (218 л.с.)седан, дизель, задний  | Ростов-на-Дону | 24.12.14
1005641533-108178 | http://is11.auto.ru/all/images/46/45/60x45/4645b11d.jpg |  BMW 5er III (E34) 520i2.0 MT (150 л.с.)  | #000000 | 170 000 |  1994  |  260 000 км  |  2.0 MT (150 л.с.)седан, бензин, задний  | Майкоп | 24.12.14
1005642685-d7c18 | /i/all7/img/no-photo-thumb.gif |  BMW 5er II (E28) 525i2.5 MT (150 л.с.)  | #0000FF | 75 000 |  1986  |  300 000 км  |  2.5 MT (150 л.с.)седан, бензин, задний  | Пенза | 24.12.14
1005643767-4a8a63 | http://is10.auto.ru/all/images/ba/01/60x45/ba01e3a3.jpg |  BMW 5er IV (E39) 520i2.0 MT (150 л.с.)  | #34ba2b | 390 000 |  1999  |  278 000 км  |  2.0 MT (150 л.с.)седан, бензин, задний  | Ардатов | 24.12.14
1005643883-8caf4 | http://is12.auto.ru/all/images/41/30/60x45/41301c12.jpg |  BMW 5er IV (E39)2.0 MT  | #000000 | 250 000 |  1997  |  240 000 км  |  2.0 MTседан, бензин, задний  | Элиста | 24.12.14
48893550-c96d2 | http://is14.auto.ru/all/images/db/6f/60x45/db6fc0a0.jpg |  BMW 5er IV (E39) 523i2.5 MT (170 л.с.)  | #0000FF | 250 000 |  1997  |  295 000 км  |  2.5 MT (170 л.с.)седан, бензин, задний  | Курск | 24.12.14
1005644537-692662 | http://is2.auto.ru/all/images/57/92/60x45/5792e63b.jpg |  BMW 5er VI (F10/F11/F07) 530d xDrive3.0d AT (258 л.с.) 4WD  | #000000 | 1 660 000 |  2011  |  110 000 км  |  3.0d AT (258 л.с.) 4WDседан, дизель, полный  | Москва | 24.12.14
1005645105-2f77 | http://is6.auto.ru/all/images/d1/04/60x45/d104476b.jpg |  BMW 5er IV (E39) 520i2.0 AT (150 л.с.)  | #0000FF | 295 000 |  1999  |  264 000 км  |  2.0 AT (150 л.с.)седан, бензин, задний  | Нальчик | 24.12.14
1005645845-6fc55 | http://is15.auto.ru/all/images/5d/be/60x45/5dbe9849.jpg |  BMW 5er IV (E39) Рестайлинг 525i2.5 MT (192 л.с.)  | #CACECB | 350 000 |  2000  |  300 000 км  |  2.5 MT (192 л.с.)седан, бензин, задний  | Волгодонск | 24.12.14
1005646777-fcb5 | http://is3.auto.ru/all/images/db/ce/60x45/dbce08a3.jpg |  BMW 5er IV (E39) 523i2.5 AT (170 л.с.)  | #000000 | 340 000 |  1998  |  300 км  |  2.5 AT (170 л.с.)универсал, бензин, задний  | п.Тучково | 24.12.14
47196128-157d | http://is3.auto.ru/all/images/4d/45/60x45/4d4519b9.jpg |  BMW 5er IV (E39) 523i2.5 AT (170 л.с.)  | #000000 | 400 000 |  1997  |  270 000 км  |  2.5 AT (170 л.с.)седан, бензин, задний  | Санкт-Петербург | 24.12.14
1005647851-e1a4 | http://is10.auto.ru/all/images/30/2f/60x45/302f4566.jpg |  BMW 5er III (E34) 525i2.5 MT (192 л.с.)  | #FFFFFF | 99 000 |  1991  |  340 000 км  |  2.5 MT (192 л.с.)седан, бензин, задний  | Ижевск | 24.12.14
1005648093-7b9c | http://is14.auto.ru/all/images/1a/4d/60x45/1a4deea9.jpg |  BMW 5er IV (E39) Рестайлинг 530i3.0 AT (231 л.с.)  | #000000 | 365 000 |  2001  |  285 000 км  |  3.0 AT (231 л.с.)седан, бензин, задний  | Краснодар | 24.12.14
1005648533-62358b | http://is12.auto.ru/all/images/86/a1/60x45/86a1b6d5.jpg |  BMW 5er III (E34) 520i2.0 MT (129 л.с.)  | #9c9999 | 60 000 |  1990  |  350 000 км  |  2.0 MT (129 л.с.)седан, бензин, задний  | Тула | 24.12.14
1005523997-3e7d | http://is3.auto.ru/all/images/4c/62/60x45/4c62aeec.jpg |  BMW 5er VI (F10/F11/F07) Рестайлинг 520d2.0d AT (184 л.с.)  | #000000 | 1 790 000 |  2014  |  38 500 км  |  2.0d AT (184 л.с.)седан, дизель, задний  | Москва | 24.12.14
1005649117-adb210 | /i/all7/img/no-photo-thumb.gif |  BMW 5er IV (E39) Рестайлинг 520i2.2 AT (170 л.с.)  | #CACECB | 550 000 |  2001  |  220 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Москва | 24.12.14
1005649411-7de3eb | http://is18.auto.ru/all/images/43/c1/60x45/43c13218.jpg |  BMW 5er IV (E39) 523i2.5 MT (170 л.с.)  | #000000 | 280 000 |  1997  |  320 000 км  |  2.5 MT (170 л.с.)седан, бензин, задний  | Санкт-Петербург | 24.12.14
1005649555-84d5f7 | http://is2.auto.ru/all/images/0b/a5/60x45/0ba50203.jpg |  BMW 5er V (E60/E61) 525i2.5 AT (192 л.с.)  | #0000FF | 670 000 |  2004  |  152 000 км  |  2.5 AT (192 л.с.)седан, бензин, задний  | Обнинск | 24.12.14
1005649933-29313 | http://is17.auto.ru/all/images/66/0c/60x45/660c8693.jpg |  BMW 5er V (E60/E61) Рестайлинг 520i2.0 AT (156 л.с.)  | #000000 | 750 000 |  2008  |  110 000 км  |  2.0 AT (156 л.с.)седан, бензин, задний  | Москва | 24.12.14
1005650265-5d90f4 | http://is5.auto.ru/all/images/31/a8/60x45/31a86223.jpg |  BMW 5er IV (E39) Рестайлинг 520i2.2 MT (170 л.с.)  | #000000 | 400 000 |  2003  |  180 000 км  |  2.2 MT (170 л.с.)универсал, бензин, задний  | Москва | 24.12.14
1005653401-046f25 | http://is11.auto.ru/all/images/13/ca/60x45/13ca114b.jpg |  BMW 5er III (E34) 518i1.8 MT (115 л.с.)  | #000000 | 200 000 |  1995  |  317 000 км  |  1.8 MT (115 л.с.)седан, бензин, задний  | Зеленоград | 25.12.14
1005675261-6acd2c | http://is17.auto.ru/all/images/7d/58/60x45/7d5820bb.jpg |  BMW 5er VI (F10/F11/F07) 530d xDrive3.0d AT (258 л.с.) 4WD  | #0000FF | 1 600 000 |  2011  |  105 000 км  |  3.0d AT (258 л.с.) 4WDседан, дизель, полный  | Челябинск | 25.12.14
