1005853741-262c | http://is9.auto.ru/all/images/4f/55/60x45/4f558bcf.jpg |  Nissan X-Trail I2.5 AT (150 л.с.) 4WD  | #000000 | 499 990 |  2005  |  99 000 км  |  2.5 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Киров | 23.01.15
1007286187-7318 | http://is8.auto.ru/all/images/98/7a/60x45/987a6859.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #000000 | 799 000 |  2006  |  44 062 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007286119-b7ffe | http://is17.auto.ru/all/images/7a/98/60x45/7a983490.jpg |  Nissan X-Trail II2.0 CVT (140 л.с.) 4WD  | #000000 | 879 000 |  2010  |  139 000 км  |  2.0 CVT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007285891-c2c51 | http://is5.auto.ru/all/images/d9/5c/60x45/d95c760e.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #0000FF | 699 999 |  2008  |  97 028 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283651-c6b0 | http://is7.auto.ru/all/images/1e/b3/60x45/1eb352e7.jpg |  Nissan X-Trail II Рестайлинг2.0 CVT (141 л.с.) 4WD  | #9c9999 | 899 000 |  2011  |  57 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 23.01.15
1007285447-64e5 | http://is7.auto.ru/all/images/6b/21/60x45/6b21739c.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #000000 | 899 000 |  2008  |  95 988 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007285295-593907 | http://is15.auto.ru/all/images/44/5d/60x45/445dd0ac.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #000000 | 769 000 |  2007  |  94 767 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283745-d41c | http://is7.auto.ru/all/images/a4/a2/60x45/a4a240b7.jpg |  Nissan X-Trail I2.5 MT (165 л.с.) 4WD  | #0000FF | 425 000 |  2004  |  105 874 км  |  2.5 MT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283693-aab67 | http://is9.auto.ru/all/images/0a/54/60x45/0a54d038.jpg |  Nissan X-Trail I2.0 MT (140 л.с.) 4WD  | #000000 | 465 000 |  2002  |  110 000 км  |  2.0 MT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283591-0ea228 | http://is8.auto.ru/all/images/5e/8d/60x45/5e8d2e42.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #000000 | 537 000 |  2005  |  123 000 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283505-58ab | /i/all7/img/no-photo-thumb.gif |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #CACECB | 545 000 |  2005  |  136 588 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283439-b6f10 | http://is1.auto.ru/all/images/f0/29/60x45/f029bee9.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #FFFFFF | 745 000 |  2009  |  73 000 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283475-e8c92 | http://is5.auto.ru/all/images/62/94/60x45/629458b0.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #FFCC00 | 775 000 |  2009  |  100 000 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282931-4dc80 | http://is5.auto.ru/all/images/2c/88/60x45/2c88d365.jpg |  Nissan X-Trail I2.0 MT (140 л.с.) 4WD  | #9c9999 | 455 000 |  2005  |  108 000 км  |  2.0 MT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283107-6596 | http://is2.auto.ru/all/images/70/6c/60x45/706c0797.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #CACECB | 515 000 |  2007  |  90 000 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283035-6530c | http://is8.auto.ru/all/images/c8/d7/60x45/c8d7cb77.jpg |  Nissan X-Trail II2.0 CVT (140 л.с.) 4WD  | #0000FF | 695 000 |  2008  |  120 000 км  |  2.0 CVT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282635-91ad9 | http://is12.auto.ru/all/images/cd/55/60x45/cd55a5b9.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #0000FF | 790 000 |  2009  |  70 000 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283023-5894 | http://is2.auto.ru/all/images/5a/eb/60x45/5aebff25.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #000000 | 970 000 |  2009  |  85 409 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282849-e605a5 | http://is7.auto.ru/all/images/69/87/60x45/6987b8dc.jpg |  Nissan X-Trail II2.0 CVT (140 л.с.) 4WD  | #000000 | 760 000 |  2009  |  81 000 км  |  2.0 CVT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282411-e73338 | http://is6.auto.ru/all/images/1f/56/60x45/1f56578b.jpg |  Nissan X-Trail II Рестайлинг2.5 CVT (169 л.с.) 4WD  | #000000 | 1 015 000 |  2013  |  36 288 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
