1005241789-e7e95 | http://is16.auto.ru/all/images/74/dd/60x45/74dd3443.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #FFFFFF | 1 384 680 |  2010  |  44 700 км  |  1.6 AT (156 л.с.)купе, бензин, задний  | Москва | 23.01.15
1005241653-e63210 | http://is7.auto.ru/all/images/df/58/60x45/df58ba03.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 AT (143 л.с.)  | #CACECB | 529 000 |  2007  |  57 000 км  |  1.8 AT (143 л.с.)купе, бензин, задний  | Москва | 23.01.15
1005241651-d7902e | http://is2.auto.ru/all/images/d5/24/60x45/d52409c5.jpg |  Mercedes-Benz C-klasse III (W204) 1801.6 AT (156 л.с.) 5G-TRONIC  | #CACECB | 988 680 |  2009  |  115 000 км  |  1.6 AT (156 л.с.) 5G-TRONICседан, бензин, задний  | Москва | 23.01.15
1007140715-36a33 | http://is18.auto.ru/all/images/d6/61/60x45/d6617291.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.8 AT (156 л.с.) BlueEFFICIENCY  | #926547 | 1 451 835 |  2012  |  47 626 км  |  1.8 AT (156 л.с.) BlueEFFICIENCYседан, бензин, задний  | Москва | 23.01.15
1006004355-344a0 | http://is16.auto.ru/all/images/1d/98/60x45/1d98436b.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 2001.8 AT (184 л.с.)  | #000000 | 1 477 245 |  2012  |  42 187 км  |  1.8 AT (184 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007015745-285ebc | http://is15.auto.ru/all/images/61/7f/60x45/617f22d9.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #0000FF | 1 485 000 |  2013  |  14 890 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005613515-0f348 | http://is4.auto.ru/all/images/13/1f/60x45/131f175c.jpg |  Mercedes-Benz C-klasse II (W203) 2202.2d AT (143 л.с.)  | #CACECB | 375 100 |  2001  |  210 231 км  |  2.2d AT (143 л.с.)седан, дизель, задний  | Москва | 23.01.15
1007076787-9bc022 | http://is9.auto.ru/all/images/43/5f/60x45/435fea61.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #000000 | 500 000 |  2007  |  141 545 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005674659-dbc4 | http://is8.auto.ru/all/images/ef/dc/60x45/efdc813b.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 549 266 |  2006  |  131 791 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005326455-70ef | http://is12.auto.ru/all/images/e8/8c/60x45/e88c5345.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 550 000 |  2006  |  127 596 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005948445-f8bb | http://is12.auto.ru/all/images/7d/7d/60x45/7d7d0c3c.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 550 000 |  2006  |  128 018 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005948449-56b6 | http://is8.auto.ru/all/images/35/ee/60x45/35eee1fc.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 550 000 |  2006  |  110 606 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005948459-d8810b | http://is15.auto.ru/all/images/98/f0/60x45/98f03337.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #0000FF | 550 000 |  2006  |  109 291 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1006238359-5098 | http://is15.auto.ru/all/images/ae/50/60x45/ae500271.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 1801.8 MT (143 л.с.)  | #000000 | 550 000 |  2007  |  176 023 км  |  1.8 MT (143 л.с.)седан, бензин, задний  | Москва | 23.01.15
1006656203-8b98 | http://is1.auto.ru/all/images/84/aa/60x45/84aa97f5.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 3503.5 MT (272 л.с.)  | #000000 | 550 000 |  2007  |  151 895 км  |  3.5 MT (272 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007140711-86b30 | http://is4.auto.ru/all/images/1a/92/60x45/1a92a171.jpg |  Mercedes-Benz C-klasse II (W203) Рестайлинг 3503.5 MT (272 л.с.)  | #000000 | 550 000 |  2007  |  128 830 км  |  3.5 MT (272 л.с.)седан, бензин, задний  | Москва | 23.01.15
