1006628315-4c7d7 | http://is9.auto.ru/all/images/dc/28/60x45/dc28111d.jpg |  Kia Rio II Рестайлинг1.4 AT (97 л.с.)  | #FFCC00 | 419 000 |  2011  |  98 800 км  |  1.4 AT (97 л.с.)хэтчбек, бензин, передний  | Тверь | 23.01.15
1007296561-b1efc | http://is7.auto.ru/all/images/f3/8d/60x45/f38d6263.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #9c9999 | 624 900 |  2012  |  27 700 км  |  1.6 AT (123 л.с.) 4-speedседан, бензин, передний  | Москва | 23.01.15
1007038019-2a1b89 | http://is6.auto.ru/all/images/92/b9/60x45/92b9185d.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #CACECB | 320 000 |  2011  |  26 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007039063-7179b5 | http://is12.auto.ru/all/images/26/ef/60x45/26ef3a1e.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #0000FF | 325 000 |  2011  |  27 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007296145-b096c6 | http://is5.auto.ru/all/images/d8/77/60x45/d8771822.jpg |  Kia Rio I1.5 MT (97 л.с.)  | #ffefd5 | 205 000 |  2005  |  132 000 км  |  1.5 MT (97 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007226307-f326 | http://is14.auto.ru/all/images/e1/ce/60x45/e1ce9e6d.jpg |  Kia Rio III1.4 MT (107 л.с.)  | #FFFFFF | 600 000 |  2014  |  1 111 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007171067-35ce | http://is17.auto.ru/all/images/db/54/60x45/db54d124.jpg |  Kia Rio III1.6 MT (123 л.с.) 5-speed  | #FFFFFF | 525 000 |  2012  |  34 000 км  |  1.6 MT (123 л.с.) 5-speedхэтчбек, бензин, передний  | Ростов-на-Дону | 23.01.15
1007233743-e436eb | http://is3.auto.ru/all/images/c1/9f/60x45/c19fd07f.jpg |  Kia Rio I1.5 MT (97 л.с.)  | #ffefd5 | 215 000 |  2003  |  142 000 км  |  1.5 MT (97 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007294575-6eba1 | http://is4.auto.ru/all/images/e8/85/60x45/e8857680.jpg |  Kia Rio II Рестайлинг1.4 AT (97 л.с.)  | #0000FF | 435 000 |  2011  |  65 000 км  |  1.4 AT (97 л.с.)хэтчбек, бензин, передний  | Орел | 23.01.15
1007295737-b3a2a | http://is11.auto.ru/all/images/15/58/60x45/1558b8a7.jpg |  Kia Rio III1.4 MT (107 л.с.)  | #FF0000 | 475 000 |  2013  |  37 249 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Москва | 23.01.15
