1005857441-9cea7b | http://is15.auto.ru/all/images/10/c4/60x45/10c44a11.jpg |  Hyundai Accent II Рестайлинг1.5 MT (102 л.с.)  | #FFCC00 | 209 000 |  2005  |  113 000 км  |  1.5 MT (102 л.с.)седан, бензин, передний  | Великий Новгород | 28.12.14
1005859955-ce6312 | http://is3.auto.ru/all/images/0f/36/60x45/0f368b4e.jpg |  Hyundai Accent I1.3 MT (75 л.с.)  | #0000FF | 70 000 |  1995  |  90 000 км  |  1.3 MT (75 л.с.)седан, бензин, передний  | Москва | 28.12.14
1005859443-a877c | http://is6.auto.ru/all/images/7b/9d/60x45/7b9dad4c.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #000000 | 240 000 |  2006  |  90 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Ярославль | 28.12.14
1005708647-b506 | /i/all7/img/no-photo-thumb.gif |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #000000 | 325 000 |  2011  |  120 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Домодедово | 28.12.14
43817650-c83d24 | http://is6.auto.ru/all/images/d4/a3/60x45/d4a3a665.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #000000 | 320 000 |  2007  |  125 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Ростов-на-Дону | 28.12.14
1005864759-b26c | http://is15.auto.ru/all/images/04/b9/60x45/04b92c8f.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #CACECB | 220 000 |  2006  |  115 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Лакинск | 28.12.14
1002752833-cacc6 | http://is3.auto.ru/all/images/9f/4b/60x45/9f4b553d.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #CACECB | 225 000 |  2008  |  64 500 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Белгород | 28.12.14
1004612641-90b5f | http://is14.auto.ru/all/images/84/65/60x45/84656aa4.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #FF0000 | 289 000 |  2008  |  60 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Тула | 29.12.14
1005917817-398cd0 | http://is4.auto.ru/all/images/56/1e/60x45/561ecc3b.jpg |  Hyundai Accent I1.5 MT (88 л.с.)  | #34ba2b | 100 000 |  1995  |  300 000 км  |  1.5 MT (88 л.с.)седан, бензин, передний  | Пятигорск | 29.12.14
1005919079-f2410 | /i/all7/img/no-photo-thumb.gif |  Hyundai Accent II (ТагАЗ)1.5 AT (102 л.с.) Tagaz  | #FF0000 | 500 000 |  2005  |  81 000 км  |  1.5 AT (102 л.с.) Tagazседан, бензин, передний  | Люберцы | 29.12.14
1005923937-1b2528 | http://is2.auto.ru/all/images/ef/8e/60x45/ef8e2e5e.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #FFCC00 | 245 000 |  2008  |  50 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Санкт-Петербург | 29.12.14
49877972-ae2da | http://is6.auto.ru/all/images/22/9f/60x45/229faf2e.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #CACECB | 218 000 |  2007  |  94 562 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Воронеж | 30.12.14
1005967895-a9ebb9 | http://is8.auto.ru/all/images/a7/47/60x45/a7471750.jpg |  Hyundai Accent II (ТагАЗ)1.5 MT (102 л.с.) Tagaz  | #0000FF | 195 000 |  2003  |  154 000 км  |  1.5 MT (102 л.с.) Tagazседан, бензин, передний  | Нижний Новгород | 30.12.14
