1007286899-dcaa | http://is14.auto.ru/all/images/cd/3e/60x45/cd3e71da.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #CACECB | 210 000 |  2009  |  125 700 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284907-e725 | http://is7.auto.ru/all/images/71/eb/60x45/71eb7af0.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 255 000 |  2008  |  140 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284769-0a2c7c | http://is6.auto.ru/all/images/e0/31/60x45/e031caed.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FF0000 | 188 808 |  2006  |  90 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284721-bf336 | http://is4.auto.ru/all/images/5a/8d/60x45/5a8dd4da.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #FFCC00 | 210 000 |  2008  |  83 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282321-88ecb | http://is6.auto.ru/all/images/49/51/60x45/495187d5.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #ffefd5 | 225 000 |  2008  |  68 700 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281787-835c | http://is8.auto.ru/all/images/e0/0b/60x45/e00b1904.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #34ba2b | 215 000 |  2009  |  110 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281715-e984 | http://is6.auto.ru/all/images/b6/28/60x45/b628e5a2.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #0000FF | 235 000 |  2008  |  78 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281287-a1c436 | http://is4.auto.ru/all/images/12/80/60x45/1280c90c.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 235 000 |  2009  |  89 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280423-65648 | http://is6.auto.ru/all/images/4b/20/60x45/4b205ec2.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #ffefd5 | 260 000 |  2010  |  44 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280415-0a9834 | http://is2.auto.ru/all/images/af/2b/60x45/af2b9fd6.jpg |  Kia Spectra1.6 AT (101 л.с.)  | #000000 | 250 000 |  2008  |  71 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279545-c338f | http://is5.auto.ru/all/images/39/ab/60x45/39ab116c.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #CACECB | 250 000 |  2008  |  70 191 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279547-584f | http://is9.auto.ru/all/images/c4/46/60x45/c446995c.jpg |  Kia Spectra1.6 MT (101 л.с.)  | #000000 | 265 000 |  2008  |  76 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
