1007281835-7864da | http://is8.auto.ru/all/images/1c/a7/60x45/1ca78f54.jpg |  Kia Sportage II2.0d MT (140 л.с.)  | #CACECB | 520 000 |  2008  |  120 000 км  |  2.0d MT (140 л.с.)внедорожник, дизель, передний  | Москва | 23.01.15
1007281537-96d9b | http://is11.auto.ru/all/images/d7/16/60x45/d7162c0b.jpg |  Kia Sportage I2.0 MT (128 л.с.)  | #CACECB | 260 000 |  2004  |  102 688 км  |  2.0 MT (128 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007281133-842fdd | http://is6.auto.ru/all/images/b9/1f/60x45/b91f4f3a.jpg |  Kia Sportage III2.0 MT (150 л.с.)  | #9c9999 | 525 000 |  2010  |  4 900 км  |  2.0 MT (150 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007280675-d7aae | http://is7.auto.ru/all/images/d9/a4/60x45/d9a46035.jpg |  Kia Sportage III2.0d AT (136 л.с.) 4WD  | #9c9999 | 585 000 |  2010  |  76 000 км  |  2.0d AT (136 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007280353-c6b6 | http://is12.auto.ru/all/images/15/e9/60x45/15e98b2f.jpg |  Kia Sportage II2.0 MT (142 л.с.) 4WD  | #34ba2b | 505 000 |  2008  |  87 923 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007280713-afd83c | http://is13.auto.ru/all/images/1e/53/60x45/1e531968.jpg |  Kia Sportage II2.0d AT (140 л.с.) 4WD  | #926547 | 550 000 |  2008  |  50 200 км  |  2.0d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007280479-9b98ce | /i/all7/img/no-photo-thumb.gif |  Kia Sportage I2.0 AT (128 л.с.) 4WD  | #0000FF | 335 000 |  2005  |  148 000 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005969171-dbb474 | /i/all7/img/no-photo-thumb.gif |  Kia Sportage II Рестайлинг2.0d AT (140 л.с.) 4WD  | #34ba2b | 649 000 |  2008  |  110 000 км  |  2.0d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275737-6a345 | http://is16.auto.ru/all/images/08/05/60x45/0805fe78.jpg |  Kia Sportage III2.0 AT (150 л.с.) 4WD  | #9c9999 | 1 250 000 |  2014  |  45 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006776173-a6d933 | http://is2.auto.ru/all/images/9e/39/60x45/9e39bae9.jpg |  Kia Sportage III2.0 AT (150 л.с.) 4WD  | #926547 | 1 344 700 |  2013  |  26 201 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279549-2086e8 | http://is8.auto.ru/all/images/55/fc/60x45/55fcc3fa.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #9c9999 | 665 000 |  2010  |  82 675 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279553-1fff7a | http://is6.auto.ru/all/images/37/ad/60x45/37add541.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #0000FF | 740 000 |  2010  |  52 000 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279551-6659c0 | http://is13.auto.ru/all/images/8d/55/60x45/8d55f01c.jpg |  Kia Sportage III2.0 AT (150 л.с.) 4WD  | #000000 | 915 000 |  2010  |  91 400 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279557-e7ee | http://is7.auto.ru/all/images/ee/67/60x45/ee671e87.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #FFFFFF | 580 000 |  2009  |  104 000 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279555-a5b3 | http://is11.auto.ru/all/images/ce/22/60x45/ce22c4d2.jpg |  Kia Sportage II Рестайлинг2.0d AT (140 л.с.)  | #FF0000 | 720 000 |  2009  |  60 500 км  |  2.0d AT (140 л.с.)внедорожник, дизель, передний  | Москва | 23.01.15
1007279077-594a | http://is3.auto.ru/all/images/48/e1/60x45/48e1103f.jpg |  Kia Sportage I2.0 MT (128 л.с.) 4WD  | #CC0033 | 315 000 |  2004  |  112 000 км  |  2.0 MT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279075-901d9e | http://is13.auto.ru/all/images/66/4a/60x45/664a9a33.jpg |  Kia Sportage I2.0 MT (128 л.с.) 4WD  | #CACECB | 325 000 |  2005  |  128 000 км  |  2.0 MT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278757-a306e | http://is2.auto.ru/all/images/d6/2d/60x45/d62d1e95.jpg |  Kia Sportage III2.0 MT (150 л.с.)  | #9c9999 | 659 000 |  2010  |  84 331 км  |  2.0 MT (150 л.с.)внедорожник, бензин, передний  | Коломна | 23.01.15
1007278925-d3d8 | http://is5.auto.ru/all/images/cd/e0/60x45/cde021d4.jpg |  Kia Sportage III2.0 MT (150 л.с.)  | #0000FF | 889 000 |  2011  |  104 000 км  |  2.0 MT (150 л.с.)внедорожник, бензин, передний  | Коломна | 23.01.15
1007278749-d0d2a8 | http://is8.auto.ru/all/images/e9/93/60x45/e993409f.jpg |  Kia Sportage II2.0 MT (142 л.с.) 4WD  | #CACECB | 549 000 |  2006  |  93 372 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1007278583-683c | http://is5.auto.ru/all/images/de/28/60x45/de281623.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.)  | #0000FF | 579 000 |  2009  |  101 800 км  |  2.0 MT (142 л.с.)внедорожник, бензин, передний  | Коломна | 23.01.15
1006285471-26df | http://is18.auto.ru/all/images/4b/b8/60x45/4bb8fa55.jpg |  Kia Sportage III2.0d AT (136 л.с.) 4WD  | #FF9966 | 1 186 680 |  2010  |  33 543 км  |  2.0d AT (136 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007212751-1694 | http://is5.auto.ru/all/images/65/02/60x45/65028277.jpg |  Kia Sportage III2.0 MT (150 л.с.)  | #FF9966 | 849 000 |  2011  |  120 069 км  |  2.0 MT (150 л.с.)внедорожник, бензин, передний  | Воронеж | 23.01.15
1007277787-0e99f7 | http://is9.auto.ru/all/images/d7/37/60x45/d737065c.jpg |  Kia Sportage II2.0 MT (142 л.с.) 4WD  | #CACECB | 544 000 |  2006  |  121 000 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007277699-772f28 | http://is18.auto.ru/all/images/0b/27/60x45/0b278c24.jpg |  Kia Sportage II2.0 AT (142 л.с.) 4WD  | #0000FF | 645 000 |  2008  |  84 000 км  |  2.0 AT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007276041-566b | http://is7.auto.ru/all/images/72/56/60x45/72566406.jpg |  Kia Sportage II2.0 MT (142 л.с.) 4WD  | #9c9999 | 485 000 |  2006  |  127 000 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
