1007232397-7ddbd | http://is12.auto.ru/all/images/c0/17/60x45/c0179edc.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #000000 | 830 000 |  2009  |  104 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1005509735-71d923 | http://is7.auto.ru/all/images/7c/b3/60x45/7cb356ab.jpg |  Kia Sorento II2.2d AT (197 л.с.) 4WD  | #9c9999 | 1 250 000 |  2012  |  35 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Киров | 23.01.15
1007292341-88d32 | http://is18.auto.ru/all/images/28/d2/60x45/28d2142b.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #CACECB | 588 888 |  2007  |  78 888 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007290849-34590 | http://is6.auto.ru/all/images/5b/ad/60x45/5bada545.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #000000 | 999 000 |  2011  |  62 540 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007290547-e15e | http://is18.auto.ru/all/images/85/40/60x45/85407aac.jpg |  Kia Sorento II Рестайлинг2.4 AT (175 л.с.) 4WD  | #000000 | 1 299 999 |  2013  |  21 587 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007289959-6ae1 | http://is7.auto.ru/all/images/c0/ee/60x45/c0ee9c8a.jpg |  Kia Sorento I Рестайлинг3.3 AT (248 л.с.) 4WD  | #926547 | 633 333 |  2008  |  70 000 км  |  3.3 AT (248 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1003845888-da86 | http://is12.auto.ru/all/images/01/54/60x45/0154fa99.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #000000 | 1 070 000 |  2011  |  90 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Великие Луки | 23.01.15
1007286095-f06e9 | /i/all7/img/no-photo-thumb.gif |  Kia Sorento II2.2d AT (197 л.с.) 4WD  | #000000 | 799 999 |  2010  |  112 031 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007285959-41ee8 | http://is1.auto.ru/all/images/9a/a1/60x45/9aa12a95.jpg |  Kia Sorento I2.5d AT (140 л.с.) 4WD  | #000000 | 644 444 |  2006  |  113 250 км  |  2.5d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007285691-1a4d48 | http://is12.auto.ru/all/images/ac/50/60x45/ac5092da.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #000000 | 655 555 |  2009  |  78 659 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007283911-0236e | http://is13.auto.ru/all/images/22/06/60x45/22066cfb.jpg |  Kia Sorento I Рестайлинг3.3 AT (238 л.с.) 4WD  | #CACECB | 655 000 |  2008  |  89 200 км  |  3.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283757-bec8ff | http://is1.auto.ru/all/images/b8/f2/60x45/b8f2ce04.jpg |  Kia Sorento I2.4 MT (139 л.с.) 4WD  | #000000 | 475 000 |  2006  |  98 789 км  |  2.4 MT (139 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282085-0e775 | http://is10.auto.ru/all/images/f1/3b/60x45/f13bd265.jpg |  Kia Sorento I2.4 MT (139 л.с.) 4WD  | #CACECB | 480 000 |  2006  |  112 000 км  |  2.4 MT (139 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282185-8b0a | http://is15.auto.ru/all/images/c0/4f/60x45/c04f20d4.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #000000 | 520 000 |  2006  |  72 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
