1005570457-d28e | http://is6.auto.ru/all/images/0d/54/60x45/0d5411b0.jpg |  Ford Focus II Рестайлинг1.6 MT (100 л.с.)  | #9966CC | 447 000 |  2011  |  64 000 км  |  1.6 MT (100 л.с.)хэтчбек, бензин, передний  | Казань | 23.12.14
1005108957-87fa7d | http://is16.auto.ru/all/images/b6/2a/60x45/b62a5250.jpg |  Ford Focus II Рестайлинг2.0 AT (145 л.с.)  | #000000 | 599 760 |  2011  |  79 636 км  |  2.0 AT (145 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005570631-b018 | http://is15.auto.ru/all/images/16/35/60x45/16354a3b.jpg |  Ford Focus II2.0 MT (145 л.с.)  | #9c9999 | 300 000 |  2006  |  205 000 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005325575-3275 | http://is4.auto.ru/all/images/e4/64/60x45/e464d713.jpg |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #0000FF | 395 000 |  2008  |  54 000 км  |  1.8 MT (125 л.с.)универсал, бензин, передний  | Владимир | 23.12.14
1005570969-89b44 | http://is10.auto.ru/all/images/20/6a/60x45/206aa88b.jpg |  Ford Focus II1.8 MT (125 л.с.)  | #0000FF | 300 000 |  2006  |  110 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Сочи | 23.12.14
1005570997-8f1553 | http://is1.auto.ru/all/images/ed/31/60x45/ed31c1b2.jpg |  Ford Focus II Рестайлинг2.0 AT (145 л.с.)  | #FFFFFF | 425 000 |  2008  |  105 000 км  |  2.0 AT (145 л.с.)седан, бензин, передний  | Челябинск | 23.12.14
1005571831-a973d2 | http://is5.auto.ru/all/images/De/fa/60x45/DefaultP.jpg |  Ford Focus II1.8 MT (125 л.с.)  | #000000 | 230 000 |  2007  |  163 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Оренбург | 23.12.14
1005573653-d9ba8c | http://is7.auto.ru/all/images/f6/ff/60x45/f6ffa840.jpg |  Ford Focus II Рестайлинг1.6 MT (100 л.с.)  | #9966CC | 365 000 |  2009  |  83 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Краснодар | 23.12.14
1005572323-bf0f83 | http://is8.auto.ru/all/images/0e/c0/60x45/0ec05819.jpg |  Ford Focus II1.6 MT (100 л.с.)  | #0000FF | 300 000 |  2007  |  137 000 км  |  1.6 MT (100 л.с.)хэтчбек, бензин, передний  | Курск | 23.12.14
1005573005-a2d1 | http://is6.auto.ru/all/images/7e/41/60x45/7e41fde9.jpg |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #0000FF | 360 000 |  2008  |  138 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Нижний Новгород | 23.12.14
1005573569-9263d | http://is10.auto.ru/all/images/8b/d2/60x45/8bd267fc.jpg |  Ford Focus II Рестайлинг1.6 AT (100 л.с.)  | #9c9999 | 430 000 |  2009  |  56 000 км  |  1.6 AT (100 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005574121-7dff | http://is16.auto.ru/all/images/43/8c/60x45/438c3e28.jpg |  Ford Focus II Рестайлинг1.6 AT (100 л.с.)  | #9c9999 | 460 000 |  2011  |  77 000 км  |  1.6 AT (100 л.с.)седан, бензин, передний  | Екатеринбург | 23.12.14
1005575143-37d2fa | http://is16.auto.ru/all/images/6a/87/60x45/6a87d58d.jpg |  Ford Focus III1.6 AT (125 л.с.)  | #000000 | 620 000 |  2012  |  91 000 км  |  1.6 AT (125 л.с.)седан, бензин, передний  | Пятигорск | 23.12.14
1005574743-4f89 | http://is18.auto.ru/all/images/ae/e8/60x45/aee8cf9c.jpg |  Ford Focus II Рестайлинг1.4 MT (80 л.с.)  | #0000FF | 390 000 |  2009  |  46 000 км  |  1.4 MT (80 л.с.)седан, бензин, передний  | Бутурлиновка | 23.12.14
1005578861-2e61 | http://is6.auto.ru/all/images/42/31/60x45/4231fd4c.jpg |  Ford Focus II1.6 MT (100 л.с.)  | #000000 | 330 000 |  2008  |  230 км  |  1.6 MT (100 л.с.)универсал, бензин, передний  | Москва | 23.12.14
46751748-f5549c | http://is4.auto.ru/all/images/b8/36/60x45/b83649c8.jpg |  Ford Focus II Рестайлинг1.6 MT (115 л.с.)  | #CACECB | 390 000 |  2008  |  50 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Великий Новгород | 23.12.14
1005579737-609d | http://is12.auto.ru/all/images/43/be/60x45/43be2d31.jpg |  Ford Focus I Рестайлинг2.0 AT (131 л.с.)  | #000000 | 215 000 |  2004  |  123 000 км  |  2.0 AT (131 л.с.)хэтчбек, бензин, передний  | Москва | 23.12.14
1005579471-af72e | http://is18.auto.ru/all/images/4d/5d/60x45/4d5d3383.jpg |  Ford Focus II1.4 MT (80 л.с.)  | #0000FF | 255 000 |  2006  |  105 000 км  |  1.4 MT (80 л.с.)седан, бензин, передний  | Краснодар | 23.12.14
