1005760481-fb147 | http://is7.auto.ru/all/images/8f/74/60x45/8f740e27.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #34ba2b | 550 000 |  2008  |  145 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Санкт-Петербург | 16.01.15
1005311871-21e24 | http://is6.auto.ru/all/images/c8/a7/60x45/c8a76698.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 680 000 |  2008  |  75 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Тула | 16.01.15
1005444317-1b3f1 | http://is6.auto.ru/all/images/e8/40/60x45/e840e668.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 629 900 |  2007  |  173 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 16.01.15
1006804155-a79db | http://is2.auto.ru/all/images/fb/37/60x45/fb37cfc9.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #0000FF | 630 000 |  2007  |  162 300 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Королев | 15.01.15
48470856-7ee67 | http://is18.auto.ru/all/images/06/0a/60x45/060a47c2.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #34ba2b | 760 000 |  2011  |  90 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Санкт-Петербург | 15.01.15
1006672631-604011 | http://is5.auto.ru/all/images/8f/37/60x45/8f376c63.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #CACECB | 799 000 |  2010  |  49 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 14.01.15
1006628813-e72b | /i/all7/img/no-photo-thumb.gif |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 700 000 |  2011  |  90 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Луга | 12.01.15
1006628675-95ad1 | http://is1.auto.ru/all/images/42/2d/60x45/422df01e.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 729 000 |  2011  |  69 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Иркутск | 12.01.15
1000840814-b2f7d | http://is3.auto.ru/all/images/07/3f/60x45/073f2953.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 715 000 |  2007  |  135 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 12.01.15
1006571537-1ba0 | http://is3.auto.ru/all/images/68/2e/60x45/682e178e.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 600 000 |  2007  |  250 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Краснодар | 11.01.15
1005921813-27ae3 | http://is16.auto.ru/all/images/61/87/60x45/61874c94.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 580 000 |  2007  |  120 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Воронеж | 11.01.15
1004850881-408fe | http://is7.auto.ru/all/images/37/26/60x45/3726b60a.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #CACECB | 958 000 |  2011  |  11 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Брянск | 10.01.15
1002864425-b2dd29 | http://is18.auto.ru/all/images/a8/a5/60x45/a8a5a46b.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #34ba2b | 800 000 |  2010  |  50 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 08.01.15
1004490353-fcba9 | http://is1.auto.ru/all/images/5e/d7/60x45/5ed75e3f.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #0000FF | 620 000 |  2007  |  125 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Одинцово | 07.01.15
42721426-ecd6 | http://is11.auto.ru/all/images/6d/df/60x45/6ddf2f32.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #926547 | 765 000 |  2010  |  129 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Санкт-Петербург | 06.01.15
1004229421-5e4c57 | http://is10.auto.ru/all/images/7a/98/60x45/7a98a40b.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #CACECB | 750 000 |  2007  |  66 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Тверь | 04.01.15
1006161799-c14c9 | http://is5.auto.ru/all/images/5d/3e/60x45/5d3e7a40.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 800 000 |  2010  |  100 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Тверь | 03.01.15
45333198-210d76 | http://is5.auto.ru/all/images/4e/c2/60x45/4ec2052b.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 480 000 |  2007  |  160 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Нижний Новгород | 01.01.15
1005976393-61009 | http://is15.auto.ru/all/images/2d/7e/60x45/2d7ec880.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 699 000 |  2010  |  95 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Санкт-Петербург | 31.12.14
1005919895-1e26 | http://is15.auto.ru/all/images/8d/cc/60x45/8dcca5cb.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 895 000 |  2011  |  97 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Кострома | 29.12.14
45558856-92a2a | http://is17.auto.ru/all/images/40/1d/60x45/401d49b6.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #ffefd5 | 420 000 |  2006  |  148 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Тверь | 28.12.14
1005759755-1a087 | http://is3.auto.ru/all/images/9e/2c/60x45/9e2c5a9b.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 690 000 |  2008  |  115 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Орехово-Зуево | 26.12.14
1005744411-2166 | http://is18.auto.ru/all/images/d7/17/60x45/d7173fee.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #0000FF | 580 000 |  2007  |  95 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Великий Новгород | 26.12.14
1005708361-532a | http://is5.auto.ru/all/images/a7/87/60x45/a7875212.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 670 000 |  2007  |  130 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 25.12.14
1005642565-8c3ec2 | http://is15.auto.ru/all/images/d8/b2/60x45/d8b22b20.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 620 000 |  2008  |  49 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Тюмень | 24.12.14
1005525305-33a5 | /i/all7/img/no-photo-thumb.gif |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #000000 | 800 000 |  2010  |  90 200 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Москва | 23.12.14
1002018715-42f2 | http://is15.auto.ru/all/images/a6/15/60x45/a61518b8.jpg |  Mazda BT-502.5d MT (143 л.с.) 4WD  | #9c9999 | 770 000 |  2010  |  58 000 км  |  2.5d MT (143 л.с.) 4WDпикап, дизель, полный  | Ступино | 12.12.14
