1007271011-687b33 | http://is6.auto.ru/all/images/04/1c/60x45/041c4b4d.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #FF0000 | 469 000 |  2007  |  87 490 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271017-8b5454 | http://is14.auto.ru/all/images/ab/df/60x45/abdffc24.jpg |  Toyota Avensis II2.0 MT (147 л.с.)  | #ffefd5 | 474 000 |  2008  |  61 144 км  |  2.0 MT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268863-a70c02 | http://is8.auto.ru/all/images/39/f8/60x45/39f8029d.jpg |  Toyota Avensis II2.0 MT (147 л.с.)  | #9c9999 | 400 500 |  2004  |  124 000 км  |  2.0 MT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266677-3eb0e | http://is14.auto.ru/all/images/e9/b4/60x45/e9b44aac.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #34ba2b | 440 000 |  2006  |  94 037 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007267911-3f5c5e | http://is11.auto.ru/all/images/b7/3c/60x45/b73ca6b9.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #CACECB | 495 000 |  2007  |  99 348 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268897-3943d | http://is16.auto.ru/all/images/db/04/60x45/db048fc3.jpg |  Toyota Avensis II Рестайлинг2.0 AT (147 л.с.)  | #000000 | 515 000 |  2008  |  70 000 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007267919-9d0dd | http://is3.auto.ru/all/images/b9/83/60x45/b9833aa8.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #CACECB | 519 000 |  2007  |  110 254 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007265547-50022 | http://is2.auto.ru/all/images/5e/19/60x45/5e190504.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #000000 | 541 000 |  2008  |  105 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Минводы | 23.01.15
1007266685-2c40 | http://is6.auto.ru/all/images/61/a4/60x45/61a43326.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #926547 | 555 000 |  2008  |  91 379 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268901-ae6ea | http://is5.auto.ru/all/images/41/44/60x45/41441236.jpg |  Toyota Avensis II Рестайлинг2.0 AT (147 л.с.)  | #ffefd5 | 565 000 |  2008  |  60 000 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 23.01.15
