49534808-084602 | http://is17.auto.ru/all/images/7d/e7/60x45/7de74ad3.jpg |  BMW X5 II (E70) 35d3.0d AT (286 л.с.) 4WD  | #34ba2b | 1 750 000 |  2009  |  105 000 км  |  3.0d AT (286 л.с.) 4WDвнедорожник, дизель, полный  | Нижний Новгород | 24.12.14
1005649891-d26ac | /i/all7/img/no-photo-thumb.gif |  BMW X5 I (E53)3.0 AT (231 л.с.) 4WD  | #CACECB | 700 000 |  2003  |  180 000 км  |  3.0 AT (231 л.с.) 4WDвнедорожник, бензин, полный  | Воронеж | 24.12.14
1005650509-493795 | http://is9.auto.ru/all/images/a8/03/60x45/a803a811.jpg |  BMW X5 I (E53) Рестайлинг3.0d AT (218 л.с.) 4WD  | #000000 | 900 000 |  2004  |  168 000 км  |  3.0d AT (218 л.с.) 4WDвнедорожник, дизель, полный  | Смоленск | 25.12.14
1005651077-af43c | http://is18.auto.ru/all/images/61/6a/60x45/616a3866.jpg |  BMW X5 II (E70) 48i4.8 AT (355 л.с.) 4WD  | #000000 | 1 250 000 |  2007  |  200 000 км  |  4.8 AT (355 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 25.12.14
44533998-605889 | http://is15.auto.ru/all/images/4d/9c/60x45/4d9cb90c.jpg |  BMW X5 II (E70) 30d3.0d AT (235 л.с.) 4WD  | #000000 | 2 100 000 |  2008  |  112 000 км  |  3.0d AT (235 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 25.12.14
42998304-451fa | http://is17.auto.ru/all/images/49/ae/60x45/49ae9f07.jpg |  BMW X5 II (E70) Рестайлинг 40d3.0d AT (306 л.с.) 4WD  | #9c9999 | 2 140 000 |  2010  |  142 000 км  |  3.0d AT (306 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 25.12.14
44045444-3cc0 | http://is14.auto.ru/all/images/9c/38/60x45/9c38eaf0.jpg |  BMW X5 I (E53)4.4 AT (286 л.с.) 4WD  | #000000 | 575 000 |  2001  |  305 000 км  |  4.4 AT (286 л.с.) 4WDвнедорожник, бензин, полный  | Воронеж | 25.12.14
1005694879-6cb0d | http://is2.auto.ru/all/images/bd/80/60x45/bd8086d1.jpg |  BMW X5 I (E53) Рестайлинг4.4 AT (320 л.с.) 4WD  | #000000 | 699 000 |  2005  |  441 000 км  |  4.4 AT (320 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 25.12.14
1005584303-9a13b | http://is6.auto.ru/all/images/07/9d/60x45/079dafce.jpg |  BMW X5 II (E70) Рестайлинг 35i3.0 AT (306 л.с.) 4WD  | #FFFFFF | 2 500 000 |  2012  |  72 000 км  |  3.0 AT (306 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 25.12.14
1005698973-28e91 | /i/all7/img/no-photo-thumb.gif |  BMW X5 I (E53)4.6 AT (347 л.с.) 4WD  | #000000 | 550 000 |  2002  |  150 000 км  |  4.6 AT (347 л.с.) 4WDвнедорожник, бензин, полный  | Екатеринбург | 25.12.14
1005577839-812e89 | http://is3.auto.ru/all/images/e8/d2/60x45/e8d2d0f6.jpg |  BMW X5 I (E53) Рестайлинг4.8 AT (360 л.с.) 4WD  | #000000 | 750 000 |  2004  |  260 250 км  |  4.8 AT (360 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 25.12.14
46633834-a359 | http://is8.auto.ru/all/images/c2/b5/60x45/c2b59f55.jpg |  BMW X5 I (E53)4.4 AT (286 л.с.) 4WD  | #000000 | 500 000 |  2002  |  165 000 км  |  4.4 AT (286 л.с.) 4WDвнедорожник, бензин, полный  | Курск | 25.12.14
1005644375-2d190 | http://is13.auto.ru/all/images/2a/6f/60x45/2a6f7850.jpg |  BMW X5 II (E70) 35d3.0d AT (286 л.с.) 4WD  | #FFFFFF | 1 690 000 |  2008  |  90 000 км  |  3.0d AT (286 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 25.12.14
