35344262-8b8c | http://is2.auto.ru/all/images/f4/dc/60x45/f4dc01a0.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #000000 | 980 000 |  2011  |  70 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 28.12.14
1005860189-7ef316 | http://is6.auto.ru/all/images/ef/7e/60x45/ef7e0ab5.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #0000FF | 1 230 000 |  2011  |  17 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 28.12.14
1005864037-5e11 | http://is11.auto.ru/all/images/8c/1a/60x45/8c1af510.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #000000 | 685 000 |  2007  |  133 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 28.12.14
1005866759-195e3f | http://is1.auto.ru/all/images/c3/a6/60x45/c3a69aec.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #FFFFFF | 670 000 |  2008  |  35 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 28.12.14
1004554293-6ac796 | http://is17.auto.ru/all/images/fe/69/60x45/fe69e29e.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #000000 | 929 000 |  2011  |  82 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Ижевск | 29.12.14
1004553831-74ec1 | http://is2.auto.ru/all/images/ee/4a/60x45/ee4a1017.jpg |  Mazda CX-72.3 AT (238 л.с.)  | #FFFFFF | 929 000 |  2011  |  80 000 км  |  2.3 AT (238 л.с.)внедорожник, бензин, передний  | Ижевск | 29.12.14
1005910393-14629f | http://is4.auto.ru/all/images/ef/69/60x45/ef694dc6.jpg |  Mazda CX-72.3 MT (260 л.с.) 4WD  | #0000FF | 780 000 |  2008  |  101 000 км  |  2.3 MT (260 л.с.) 4WDвнедорожник, бензин, полный  | Владимир | 29.12.14
1005640297-7c20a | http://is6.auto.ru/all/images/cf/fb/60x45/cffb9488.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #9966CC | 600 000 |  2008  |  65 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 29.12.14
1005860001-2d79c | http://is18.auto.ru/all/images/27/3f/60x45/273f32b1.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #000000 | 750 000 |  2008  |  95 000 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 29.12.14
1005110311-291854 | http://is13.auto.ru/all/images/de/87/60x45/de87a9f5.jpg |  Mazda CX-72.3 AT (238 л.с.) 4WD  | #FF0000 | 675 000 |  2008  |  129 450 км  |  2.3 AT (238 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 29.12.14
