1006873097-6f8c | http://is6.auto.ru/all/images/b0/53/60x45/b0537b0f.jpg |  Ford Mondeo IV1.6 MT (120 л.с.)  | #0000FF | 599 000 |  2011  |  65 000 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005357509-abbdd | http://is2.auto.ru/all/images/ae/11/60x45/ae110426.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #000000 | 699 000 |  2011  |  66 900 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006546059-ac95 | http://is3.auto.ru/all/images/50/34/60x45/5034dc9a.jpg |  Ford Mondeo IV1.6 MT (120 л.с.)  | #0000FF | 399 000 |  2008  |  144 700 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005969169-68d8b | http://is4.auto.ru/all/images/e8/4b/60x45/e84be437.jpg |  Ford Mondeo IV1.6 MT (120 л.с.)  | #000000 | 499 000 |  2009  |  117 000 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280103-58d68 | /i/all7/img/no-photo-thumb.gif |  Ford Mondeo IV1.6 MT (120 л.с.)  | #000000 | 599 000 |  2011  |  29 650 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280105-34704e | /i/all7/img/no-photo-thumb.gif |  Ford Mondeo IV1.6 MT (120 л.с.)  | #000000 | 699 000 |  2012  |  29 400 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279401-6eea6 | http://is18.auto.ru/all/images/7b/c2/60x45/7bc26e9e.jpg |  Ford Mondeo IV2.0 AT (240 л.с.)  | #000000 | 800 000 |  2011  |  74 727 км  |  2.0 AT (240 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007076317-18d2 | http://is17.auto.ru/all/images/25/77/60x45/2577c415.jpg |  Ford Mondeo IV1.6 MT (120 л.с.)  | #FFFFFF | 595 000 |  2011  |  79 785 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006955031-46271 | http://is11.auto.ru/all/images/eb/33/60x45/eb3370f7.jpg |  Ford Mondeo IV2.3 AT (161 л.с.)  | #ffefd5 | 645 000 |  2010  |  21 163 км  |  2.3 AT (161 л.с.)седан, бензин, передний  | Москва | 23.01.15
1003814928-d11b6 | http://is6.auto.ru/all/images/b1/4f/60x45/b14f0b51.jpg |  Ford Mondeo IV1.6 MT (120 л.с.)  | #FFFFFF | 646 000 |  2012  |  54 436 км  |  1.6 MT (120 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278919-abbe4f | http://is15.auto.ru/all/images/d6/52/60x45/d652953f.jpg |  Ford Mondeo IV2.0 MT (145 л.с.)  | #9c9999 | 499 000 |  2008  |  149 000 км  |  2.0 MT (145 л.с.)седан, бензин, передний  | Коломна | 23.01.15
